Date,Event,Type
19/08/2017,Independence Day (National Day),Holidays in Afghanistan
02/09/2017,Eid al-Qurban,Holidays in Afghanistan
01/10/2017,Ashura,Holidays in Afghanistan
09/11/2017,Arba'een,Holidays in Afghanistan
01/12/2017,The Prophet's Birthday,Holidays in Afghanistan
28/04/2018,Afghan Victory Day,Holidays in Afghanistan
16/05/2018,Ramadan starts,Holidays in Afghanistan
15/06/2018,Eid al-Fitr,Holidays in Afghanistan
19/08/2018,Independence Day (National Day),Holidays in Afghanistan
22/08/2018,Eid al-Qurban,Holidays in Afghanistan
21/09/2018,Ashura,Holidays in Afghanistan
30/10/2018,Arba'een,Holidays in Afghanistan
21/11/2018,The Prophet's Birthday,Holidays in Afghanistan
01/01/2016,New Year's Day,Holidays in Albania
02/01/2016,New Year's Day (Day 2),Holidays in Albania
14/02/2016,Valentine's Day,Holidays in Albania
08/03/2016,Mothers' Day,Holidays in Albania
14/03/2016,Summer Day,Holidays in Albania
22/03/2016,Nevruz Day,Holidays in Albania
25/03/2016,Good Friday,Holidays in Albania
26/03/2016,Holy Saturday,Holidays in Albania
27/03/2016,Daylight Saving Time starts,Holidays in Albania
27/03/2016,Easter Sunday,Holidays in Albania
28/03/2016,Easter Monday,Holidays in Albania
29/04/2016,Good Friday (Orthodox),Holidays in Albania
30/04/2016,Easter Saturday (Orthodox),Holidays in Albania
01/05/2016,Easter Sunday (Orthodox),Holidays in Albania
01/05/2016,Labour Day/May Day,Holidays in Albania
02/05/2016,Easter Monday (Orthodox),Holidays in Albania
19/06/2016,Fathers' Day,Holidays in Albania
07/07/2016,End of Ramadan (Eid al-Fitr),Holidays in Albania
13/09/2016,Feast of the Sacrifice,Holidays in Albania
19/10/2016,Mother Teresa Beatification Day,Holidays in Albania
30/10/2016,Daylight Saving Time ends,Holidays in Albania
31/10/2016,Halloween,Holidays in Albania
28/11/2016,Independence Day,Holidays in Albania
29/11/2016,Liberation Day,Holidays in Albania
08/12/2016,National Youth Day,Holidays in Albania
24/12/2016,Christmas Eve,Holidays in Albania
25/12/2016,Christmas Day,Holidays in Albania
31/12/2016,New Year's Eve,Holidays in Albania
01/01/2017,New Year's Day,Holidays in Albania
02/01/2017,New Year's Day (Day 2),Holidays in Albania
14/02/2017,Valentine's Day,Holidays in Albania
08/03/2017,Mothers' Day,Holidays in Albania
14/03/2017,Summer Day,Holidays in Albania
22/03/2017,Nevruz Day,Holidays in Albania
26/03/2017,Daylight Saving Time starts,Holidays in Albania
14/04/2017,Good Friday,Holidays in Albania
14/04/2017,Good Friday (Orthodox),Holidays in Albania
15/04/2017,Holy Saturday,Holidays in Albania
15/04/2017,Easter Saturday (Orthodox),Holidays in Albania
16/04/2017,Easter Sunday,Holidays in Albania
16/04/2017,Easter Sunday (Orthodox),Holidays in Albania
17/04/2017,Easter Monday,Holidays in Albania
17/04/2017,Easter Monday (Orthodox),Holidays in Albania
01/05/2017,Labour Day/May Day,Holidays in Albania
18/06/2017,Fathers' Day,Holidays in Albania
26/06/2017,End of Ramadan (Eid al-Fitr),Holidays in Albania
02/09/2017,Feast of the Sacrifice,Holidays in Albania
19/10/2017,Mother Teresa Beatification Day,Holidays in Albania
29/10/2017,Daylight Saving Time ends,Holidays in Albania
31/10/2017,Halloween,Holidays in Albania
28/11/2017,Independence Day,Holidays in Albania
29/11/2017,Liberation Day,Holidays in Albania
08/12/2017,National Youth Day,Holidays in Albania
24/12/2017,Christmas Eve,Holidays in Albania
25/12/2017,Christmas Day,Holidays in Albania
31/12/2017,New Year's Eve,Holidays in Albania
01/01/2018,New Year's Day,Holidays in Albania
02/01/2018,New Year's Day (Day 2),Holidays in Albania
14/02/2018,Valentine's Day,Holidays in Albania
08/03/2018,Mothers' Day,Holidays in Albania
14/03/2018,Summer Day,Holidays in Albania
22/03/2018,Nevruz Day,Holidays in Albania
25/03/2018,Daylight Saving Time starts,Holidays in Albania
30/03/2018,Good Friday,Holidays in Albania
31/03/2018,Holy Saturday,Holidays in Albania
01/04/2018,Easter Sunday,Holidays in Albania
02/04/2018,Easter Monday,Holidays in Albania
06/04/2018,Good Friday (Orthodox),Holidays in Albania
07/04/2018,Easter Saturday (Orthodox),Holidays in Albania
08/04/2018,Easter Sunday (Orthodox),Holidays in Albania
09/04/2018,Easter Monday (Orthodox),Holidays in Albania
01/05/2018,Labour Day/May Day,Holidays in Albania
15/06/2018,End of Ramadan (Eid al-Fitr),Holidays in Albania
17/06/2018,Fathers' Day,Holidays in Albania
22/08/2018,Feast of the Sacrifice,Holidays in Albania
19/10/2018,Mother Teresa Beatification Day,Holidays in Albania
28/10/2018,Daylight Saving Time ends,Holidays in Albania
31/10/2018,Halloween,Holidays in Albania
28/11/2018,Independence Day,Holidays in Albania
29/11/2018,Liberation Day,Holidays in Albania
08/12/2018,National Youth Day,Holidays in Albania
24/12/2018,Christmas Eve,Holidays in Albania
25/12/2018,Christmas Day,Holidays in Albania
01/01/2016,New Year's Day,Holidays in Armenia
02/01/2016,New Year's Day (Day 2),Holidays in Armenia
03/01/2016,New Year's Day (Day 3),Holidays in Armenia
04/01/2016,New Year's Day (Day 4),Holidays in Armenia
05/01/2016,Armenian Christmas Eve,Holidays in Armenia
06/01/2016,Armenian Christmas Day,Holidays in Armenia
28/01/2016,Army Day,Holidays in Armenia
04/02/2016,Feast of Saint Vartan,Holidays in Armenia
06/02/2016,Translators' Day,Holidays in Armenia
08/03/2016,International Women's Day,Holidays in Armenia
25/03/2016,Good Friday,Holidays in Armenia
26/03/2016,Holy Saturday,Holidays in Armenia
27/03/2016,Easter Sunday,Holidays in Armenia
28/03/2016,Easter Monday,Holidays in Armenia
07/04/2016,Motherhood and Beauty Day,Holidays in Armenia
24/04/2016,Genocide Remembrance Day,Holidays in Armenia
01/05/2016,Labour Day/May Day,Holidays in Armenia
08/05/2016,Congress,Holidays in Armenia
09/05/2016,Victory and Peace Day,Holidays in Armenia
28/05/2016,Republic Day,Holidays in Armenia
01/06/2016,Children's Day,Holidays in Armenia
03/07/2016,Vardavar,Holidays in Armenia
05/07/2016,Constitution Day,Holidays in Armenia
01/09/2016,Knowledge and Literature Day,Holidays in Armenia
21/09/2016,Independence Day,Holidays in Armenia
07/12/2016,Spitak Remembrance Day,Holidays in Armenia
31/12/2016,New Year's Eve,Holidays in Armenia
01/01/2017,New Year's Day,Holidays in Armenia
02/01/2017,New Year's Day (Day 2),Holidays in Armenia
03/01/2017,New Year's Day (Day 3),Holidays in Armenia
04/01/2017,New Year's Day (Day 4),Holidays in Armenia
05/01/2017,Armenian Christmas Eve,Holidays in Armenia
06/01/2017,Armenian Christmas Day,Holidays in Armenia
28/01/2017,Army Day,Holidays in Armenia
06/02/2017,Translators' Day,Holidays in Armenia
23/02/2017,Feast of Saint Vartan,Holidays in Armenia
08/03/2017,International Women's Day,Holidays in Armenia
07/04/2017,Motherhood and Beauty Day,Holidays in Armenia
14/04/2017,Good Friday,Holidays in Armenia
15/04/2017,Holy Saturday,Holidays in Armenia
16/04/2017,Easter Sunday,Holidays in Armenia
17/04/2017,Easter Monday,Holidays in Armenia
24/04/2017,Genocide Remembrance Day,Holidays in Armenia
01/05/2017,Labour Day/May Day,Holidays in Armenia
08/05/2017,Congress,Holidays in Armenia
09/05/2017,Victory and Peace Day,Holidays in Armenia
28/05/2017,Republic Day,Holidays in Armenia
01/06/2017,Children's Day,Holidays in Armenia
05/07/2017,Constitution Day,Holidays in Armenia
23/07/2017,Vardavar,Holidays in Armenia
01/09/2017,Knowledge and Literature Day,Holidays in Armenia
21/09/2017,Independence Day,Holidays in Armenia
07/12/2017,Spitak Remembrance Day,Holidays in Armenia
31/12/2017,New Year's Eve,Holidays in Armenia
01/01/2018,New Year's Day,Holidays in Armenia
02/01/2018,New Year's Day (Day 2),Holidays in Armenia
03/01/2018,New Year's Day (Day 3),Holidays in Armenia
04/01/2018,New Year's Day (Day 4),Holidays in Armenia
05/01/2018,Armenian Christmas Eve,Holidays in Armenia
06/01/2018,Armenian Christmas Day,Holidays in Armenia
28/01/2018,Army Day,Holidays in Armenia
06/02/2018,Translators' Day,Holidays in Armenia
08/02/2018,Feast of Saint Vartan,Holidays in Armenia
08/03/2018,International Women's Day,Holidays in Armenia
30/03/2018,Good Friday,Holidays in Armenia
31/03/2018,Holy Saturday,Holidays in Armenia
01/04/2018,Easter Sunday,Holidays in Armenia
02/04/2018,Easter Monday,Holidays in Armenia
07/04/2018,Motherhood and Beauty Day,Holidays in Armenia
24/04/2018,Genocide Remembrance Day,Holidays in Armenia
01/05/2018,Labour Day/May Day,Holidays in Armenia
08/05/2018,Congress,Holidays in Armenia
09/05/2018,Victory and Peace Day,Holidays in Armenia
28/05/2018,Republic Day,Holidays in Armenia
01/06/2018,Children's Day,Holidays in Armenia
01/07/2018,Vardavar,Holidays in Armenia
05/07/2018,Constitution Day,Holidays in Armenia
01/09/2018,Knowledge and Literature Day,Holidays in Armenia
21/09/2018,Independence Day,Holidays in Armenia
07/12/2018,Spitak Remembrance Day,Holidays in Armenia
01/01/2016,New Year,Holidays in Angola
04/02/2016,Begin of the Armed Fight for National Liberation,Holidays in Angola
09/02/2016,Carnival,Holidays in Angola
08/03/2016,International Woman's Day,Holidays in Angola
25/03/2016,Good Friday,Holidays in Angola
04/04/2016,Peace Day,Holidays in Angola
01/05/2016,May Day,Holidays in Angola
17/09/2016,National Hero Day,Holidays in Angola
02/11/2016,All Souls' Day,Holidays in Angola
11/11/2016,Independence Day,Holidays in Angola
25/12/2016,Christmas Day,Holidays in Angola
01/01/2017,New Year,Holidays in Angola
04/02/2017,Begin of the Armed Fight for National Liberation,Holidays in Angola
28/02/2017,Carnival,Holidays in Angola
08/03/2017,International Woman's Day,Holidays in Angola
04/04/2017,Peace Day,Holidays in Angola
14/04/2017,Good Friday,Holidays in Angola
01/05/2017,May Day,Holidays in Angola
17/09/2017,National Hero Day,Holidays in Angola
02/11/2017,All Souls' Day,Holidays in Angola
11/11/2017,Independence Day,Holidays in Angola
25/12/2017,Christmas Day,Holidays in Angola
01/01/2018,New Year,Holidays in Angola
04/02/2018,Begin of the Armed Fight for National Liberation,Holidays in Angola
13/02/2018,Carnival,Holidays in Angola
08/03/2018,International Woman's Day,Holidays in Angola
30/03/2018,Good Friday,Holidays in Angola
04/04/2018,Peace Day,Holidays in Angola
01/05/2018,May Day,Holidays in Angola
17/09/2018,National Hero Day,Holidays in Angola
02/11/2018,All Souls' Day,Holidays in Angola
11/11/2018,Independence Day,Holidays in Angola
25/12/2018,Christmas Day,Holidays in Angola
01/01/2016,New Year's Day,Holidays in Argentina
08/02/2016,Carnival,Holidays in Argentina
09/02/2016,Carnival/Shrove Tuesday,Holidays in Argentina
24/03/2016,Memorial Day,Holidays in Argentina
24/03/2016,Maundy Thursday,Holidays in Argentina
25/03/2016,Good Friday,Holidays in Argentina
27/03/2016,Easter Day,Holidays in Argentina
02/04/2016,Day of the Veterans,Holidays in Argentina
23/04/2016,First day of Passover,Holidays in Argentina
24/04/2016,Action Day for Tolerance and Respect between People,Holidays in Argentina
30/04/2016,Last day of Passover,Holidays in Argentina
01/05/2016,Labor Day / May Day,Holidays in Argentina
25/05/2016,National Day/May 1810 Revolution,Holidays in Argentina
17/06/2016,Commemoration of General Don Martín Miguel de Güemes,Holidays in Argentina
20/06/2016,Flag Day,Holidays in Argentina
08/07/2016,Bridge Public Holiday,Holidays in Argentina
09/07/2016,Independence day,Holidays in Argentina
15/08/2016,San Martín Day,Holidays in Argentina
10/10/2016,Day of respect for cultural diversity,Holidays in Argentina
28/11/2016,National Sovereignty Day,Holidays in Argentina
08/12/2016,Feast of the Immaculate Conception,Holidays in Argentina
09/12/2016,Bridge Public Holiday,Holidays in Argentina
25/12/2016,Christmas Day,Holidays in Argentina
31/12/2016,New Year's Eve,Holidays in Argentina
01/01/2017,New Year's Day,Holidays in Argentina
27/02/2017,Carnival,Holidays in Argentina
28/02/2017,Carnival/Shrove Tuesday,Holidays in Argentina
24/03/2017,Memorial Day,Holidays in Argentina
02/04/2017,Day of the Veterans,Holidays in Argentina
11/04/2017,First day of Passover,Holidays in Argentina
13/04/2017,Maundy Thursday,Holidays in Argentina
14/04/2017,Good Friday,Holidays in Argentina
16/04/2017,Easter Day,Holidays in Argentina
18/04/2017,Last day of Passover,Holidays in Argentina
24/04/2017,Action Day for Tolerance and Respect between People,Holidays in Argentina
01/05/2017,Labor Day / May Day,Holidays in Argentina
25/05/2017,National Day/May 1810 Revolution,Holidays in Argentina
17/06/2017,Commemoration of General Don Martín Miguel de Güemes,Holidays in Argentina
20/06/2017,Flag Day,Holidays in Argentina
09/07/2017,Independence day,Holidays in Argentina
21/08/2017,San Martín Day,Holidays in Argentina
09/10/2017,Day of respect for cultural diversity,Holidays in Argentina
27/11/2017,National Sovereignty Day,Holidays in Argentina
08/12/2017,Feast of the Immaculate Conception,Holidays in Argentina
25/12/2017,Christmas Day,Holidays in Argentina
31/12/2017,New Year's Eve,Holidays in Argentina
01/01/2018,New Year's Day,Holidays in Argentina
12/02/2018,Carnival,Holidays in Argentina
13/02/2018,Carnival/Shrove Tuesday,Holidays in Argentina
24/03/2018,Memorial Day,Holidays in Argentina
29/03/2018,Maundy Thursday,Holidays in Argentina
30/03/2018,Good Friday,Holidays in Argentina
31/03/2018,First day of Passover,Holidays in Argentina
01/04/2018,Easter Day,Holidays in Argentina
02/04/2018,Day of the Veterans,Holidays in Argentina
07/04/2018,Last day of Passover,Holidays in Argentina
24/04/2018,Action Day for Tolerance and Respect between People,Holidays in Argentina
01/05/2018,Labor Day / May Day,Holidays in Argentina
25/05/2018,National Day/May 1810 Revolution,Holidays in Argentina
17/06/2018,Commemoration of General Don Martín Miguel de Güemes,Holidays in Argentina
20/06/2018,Flag Day,Holidays in Argentina
09/07/2018,Independence day,Holidays in Argentina
20/08/2018,San Martín Day,Holidays in Argentina
08/10/2018,Day of respect for cultural diversity,Holidays in Argentina
26/11/2018,National Sovereignty Day,Holidays in Argentina
08/12/2018,Feast of the Immaculate Conception,Holidays in Argentina
25/12/2018,Christmas Day,Holidays in Argentina
01/01/2016,New Year's Day,Holidays in Australia
26/01/2016,Australia Day,Holidays in Australia
08/02/2016,Royal Hobart Regatta (Tasmania),Holidays in Australia
07/03/2016,Labour Day (Western Australia),Holidays in Australia
14/03/2016,Labour Day (Victoria),Holidays in Australia
14/03/2016,Eight Hours Day (Tasmania),Holidays in Australia
14/03/2016,Adelaide Cup (South Australia),Holidays in Australia
14/03/2016,Canberra Day (Australian Capital Territory),Holidays in Australia
21/03/2016,Harmony Day,Holidays in Australia
25/03/2016,Good Friday,Holidays in Australia
26/03/2016,Holy Saturday (regional holiday),Holidays in Australia
27/03/2016,Easter Day (regional holiday),Holidays in Australia
28/03/2016,Easter Monday,Holidays in Australia
29/03/2016,Easter Tuesday (Tasmania),Holidays in Australia
03/04/2016,Daylight Saving Time ends,Holidays in Australia
25/04/2016,ANZAC Day (regional holiday),Holidays in Australia
02/05/2016,May Day (regional holiday),Holidays in Australia
06/06/2016,Western Australia Day (Western Australia),Holidays in Australia
13/06/2016,Queen's Birthday (regional holiday),Holidays in Australia
01/08/2016,New South Wales Bank Holiday (New South Wales),Holidays in Australia
01/08/2016,Northern Territory Picnic Day (Northern Territory),Holidays in Australia
10/08/2016,Royal National Agricultural Show Day Queensland (Queensland),Holidays in Australia
26/09/2016,Queen's Birthday (Western Australia),Holidays in Australia
26/09/2016,Family & Community Day (Australian Capital Territory),Holidays in Australia
30/09/2016,AFL Grand Final Friday (Victoria),Holidays in Australia
02/10/2016,Daylight Saving Time starts,Holidays in Australia
03/10/2016,Queen's Birthday (Queensland),Holidays in Australia
03/10/2016,Labour Day (regional holiday),Holidays in Australia
01/11/2016,Melbourne Cup Day (Victoria),Holidays in Australia
07/11/2016,Recreation Day (Tasmania),Holidays in Australia
11/11/2016,Remembrance Day,Holidays in Australia
24/12/2016,Christmas Eve,Holidays in Australia
25/12/2016,Christmas Day,Holidays in Australia
26/12/2016,Boxing Day,Holidays in Australia
27/12/2016,Christmas/Boxing Day Holiday (regional holiday),Holidays in Australia
27/12/2016,Proclamation Day (South Australia),Holidays in Australia
31/12/2016,New Year's Eve,Holidays in Australia
01/01/2017,New Year's Day,Holidays in Australia
02/01/2017,New Year's Day observed,Holidays in Australia
26/01/2017,Australia Day,Holidays in Australia
13/02/2017,Royal Hobart Regatta (Tasmania),Holidays in Australia
06/03/2017,Labour Day (Western Australia),Holidays in Australia
13/03/2017,Labour Day (Victoria),Holidays in Australia
13/03/2017,Eight Hours Day (Tasmania),Holidays in Australia
13/03/2017,Adelaide Cup (South Australia),Holidays in Australia
13/03/2017,Canberra Day (Australian Capital Territory),Holidays in Australia
21/03/2017,Harmony Day,Holidays in Australia
02/04/2017,Daylight Saving Time ends,Holidays in Australia
14/04/2017,Good Friday,Holidays in Australia
15/04/2017,Holy Saturday (regional holiday),Holidays in Australia
16/04/2017,Easter Day (regional holiday),Holidays in Australia
17/04/2017,Easter Monday,Holidays in Australia
18/04/2017,Easter Tuesday (Tasmania),Holidays in Australia
25/04/2017,ANZAC Day (regional holiday),Holidays in Australia
01/05/2017,May Day (regional holiday),Holidays in Australia
05/06/2017,Western Australia Day (Western Australia),Holidays in Australia
12/06/2017,Queen's Birthday (regional holiday),Holidays in Australia
07/08/2017,New South Wales Bank Holiday (New South Wales),Holidays in Australia
07/08/2017,Northern Territory Picnic Day (Northern Territory),Holidays in Australia
16/08/2017,Royal National Agricultural Show Day Queensland (Queensland),Holidays in Australia
25/09/2017,Queen's Birthday (Western Australia),Holidays in Australia
25/09/2017,Family & Community Day (Australian Capital Territory),Holidays in Australia
01/10/2017,Daylight Saving Time starts,Holidays in Australia
02/10/2017,Queen's Birthday (Queensland),Holidays in Australia
02/10/2017,Labour Day (regional holiday),Holidays in Australia
06/11/2017,Recreation Day (Tasmania),Holidays in Australia
07/11/2017,Melbourne Cup Day (Victoria),Holidays in Australia
11/11/2017,Remembrance Day,Holidays in Australia
24/12/2017,Christmas Eve,Holidays in Australia
25/12/2017,Christmas Day,Holidays in Australia
26/12/2017,Boxing Day,Holidays in Australia
31/12/2017,New Year's Eve,Holidays in Australia
01/01/2018,New Year's Day,Holidays in Australia
26/01/2018,Australia Day,Holidays in Australia
12/02/2018,Royal Hobart Regatta (Tasmania),Holidays in Australia
05/03/2018,Labour Day (Western Australia),Holidays in Australia
12/03/2018,Labour Day (Victoria),Holidays in Australia
12/03/2018,Eight Hours Day (Tasmania),Holidays in Australia
12/03/2018,Adelaide Cup (South Australia),Holidays in Australia
12/03/2018,Canberra Day (Australian Capital Territory),Holidays in Australia
21/03/2018,Harmony Day,Holidays in Australia
30/03/2018,Good Friday,Holidays in Australia
31/03/2018,Holy Saturday (regional holiday),Holidays in Australia
01/04/2018,Daylight Saving Time ends,Holidays in Australia
01/04/2018,Easter Day (regional holiday),Holidays in Australia
02/04/2018,Easter Monday,Holidays in Australia
03/04/2018,Easter Tuesday (Tasmania),Holidays in Australia
25/04/2018,ANZAC Day (regional holiday),Holidays in Australia
07/05/2018,May Day (regional holiday),Holidays in Australia
04/06/2018,Western Australia Day (Western Australia),Holidays in Australia
11/06/2018,Queen's Birthday (regional holiday),Holidays in Australia
06/08/2018,New South Wales Bank Holiday (New South Wales),Holidays in Australia
06/08/2018,Northern Territory Picnic Day (Northern Territory),Holidays in Australia
15/08/2018,Royal National Agricultural Show Day Queensland (Queensland),Holidays in Australia
24/09/2018,Family & Community Day (Australian Capital Territory),Holidays in Australia
01/10/2018,Queen's Birthday (regional holiday),Holidays in Australia
01/10/2018,Labour Day (regional holiday),Holidays in Australia
07/10/2018,Daylight Saving Time starts,Holidays in Australia
05/11/2018,Recreation Day (Tasmania),Holidays in Australia
06/11/2018,Melbourne Cup Day (Victoria),Holidays in Australia
11/11/2018,Remembrance Day,Holidays in Australia
24/12/2018,Christmas Eve,Holidays in Australia
25/12/2018,Christmas Day,Holidays in Australia
26/12/2018,Boxing Day,Holidays in Australia
01/01/2016,New Year's Day,Holidays in Austria
06/01/2016,Epiphany,Holidays in Austria
20/03/2016,Palm Sunday,Holidays in Austria
25/03/2016,Good Friday,Holidays in Austria
27/03/2016,Daylight Saving Time starts,Holidays in Austria
27/03/2016,Easter Day,Holidays in Austria
28/03/2016,Easter Monday,Holidays in Austria
01/05/2016,Labor Day / May Day,Holidays in Austria
05/05/2016,Ascension Day,Holidays in Austria
15/05/2016,Whit Sunday,Holidays in Austria
16/05/2016,Whit Monday,Holidays in Austria
26/05/2016,Corpus Christi,Holidays in Austria
15/08/2016,Assumption of Mary,Holidays in Austria
26/10/2016,National Day,Holidays in Austria
30/10/2016,Daylight Saving Time ends,Holidays in Austria
01/11/2016,All Saints' Day,Holidays in Austria
02/11/2016,All Souls' Day,Holidays in Austria
27/11/2016,First Sunday Advent,Holidays in Austria
08/12/2016,Immaculate Conception,Holidays in Austria
25/12/2016,Christmas Day,Holidays in Austria
26/12/2016,St. Stephen's Day,Holidays in Austria
31/12/2016,New Year's Eve,Holidays in Austria
01/01/2017,New Year's Day,Holidays in Austria
06/01/2017,Epiphany,Holidays in Austria
26/03/2017,Daylight Saving Time starts,Holidays in Austria
09/04/2017,Palm Sunday,Holidays in Austria
14/04/2017,Good Friday,Holidays in Austria
16/04/2017,Easter Day,Holidays in Austria
17/04/2017,Easter Monday,Holidays in Austria
01/05/2017,Labor Day / May Day,Holidays in Austria
25/05/2017,Ascension Day,Holidays in Austria
04/06/2017,Whit Sunday,Holidays in Austria
05/06/2017,Whit Monday,Holidays in Austria
15/06/2017,Corpus Christi,Holidays in Austria
15/08/2017,Assumption of Mary,Holidays in Austria
26/10/2017,National Day,Holidays in Austria
29/10/2017,Daylight Saving Time ends,Holidays in Austria
01/11/2017,All Saints' Day,Holidays in Austria
02/11/2017,All Souls' Day,Holidays in Austria
03/12/2017,First Sunday Advent,Holidays in Austria
08/12/2017,Immaculate Conception,Holidays in Austria
25/12/2017,Christmas Day,Holidays in Austria
26/12/2017,St. Stephen's Day,Holidays in Austria
31/12/2017,New Year's Eve,Holidays in Austria
01/01/2018,New Year's Day,Holidays in Austria
06/01/2018,Epiphany,Holidays in Austria
25/03/2018,Daylight Saving Time starts,Holidays in Austria
25/03/2018,Palm Sunday,Holidays in Austria
30/03/2018,Good Friday,Holidays in Austria
01/04/2018,Easter Day,Holidays in Austria
02/04/2018,Easter Monday,Holidays in Austria
01/05/2018,Labor Day / May Day,Holidays in Austria
10/05/2018,Ascension Day,Holidays in Austria
20/05/2018,Whit Sunday,Holidays in Austria
